Unnamed: 0,Unnamed: 1,본선,Unnamed: 3,ICJC1,Unnamed: 5,ICJC2,Unnamed: 7,ICJC3,Unnamed: 9,ICJC4,Unnamed: 11,ICJC5,Unnamed: 13,ICJC6,Unnamed: 15,ICJC7,Unnamed: 17,ICJC8,Unnamed: 19,ICJC9,Unnamed: 21,기타1,Unnamed: 23,기타2,Unnamed: 25,기타3,Unnamed: 27,기타4,Unnamed: 29,기타5,Unnamed: 32,,이벤트발생
공사일지일자,토공,0~1240,,Ramp-A,,Ramp-B,,Ramp-C,,Ramp-D,,Ramp-E,,Ramp-F,,Ramp-G,,Ramp-H,,Ramp-I,,분류불능,,C/R장,,부체도로,,임목파쇄장,,산외교 함양방향,,,
20150903,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20150904,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20150907,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20150908,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20150909,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20150910,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20150911,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20150914,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20150915,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20150916,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20150917,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20150918,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20150921,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20150922,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20150923,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20150924,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20150925,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20150930,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151001,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151002,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151005,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151006,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151007,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151008,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151012,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151013,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151014,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151015,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151016,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151019,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151020,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151021,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151022,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151023,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151024,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151025,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151026,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151027,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151028,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
20151029,이벤트발생,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,이벤트발생
