colums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EP,,,,,
공사일지일자,엑셀일자,공사일지당일작업내용,요일,공휴일,휴일(쉬는날),감독일지내용,,S+0,predict,S+0,predict,S+1,predict,S+1,predict,S+2,predict,S+2,predict,S+3,predict,S+3,predict,S+3,predict,S+4,predict,S+4,predict,S+4,predict,S+5,predict,S+5,predict,S+5,predict,S+6,predict,S+6,predict,R-A,predict,R-B,predict,R-C,predict,R-D,predict,부체,predict,부체#1,predict,부체#2,predict,부체#3,predict,부체#4,predict,부체#5,predict,부체#6,predict,부체#7,predict,부체#8,predict,부체#9,predict,부체#10,predict,부체#11,predict,시점부,predict,종점부,predict,진입도로,predict,리도210호선,predict,휴게소,predict,분류불능,predict,기타,predict
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20100310,2010-03-10,,수,,,13:00~15:00 화촌터널 종점부 실정보고 서류 확인 - 확인보링 결과에 따른 FRP보강 간격 및 길이 확인15:00~17:00 외삼포교 P1 기둥철근 및 거푸집 조립상태 점검17:00~18:00 근업4교 P3(춘천) 기초터파기 좌표 확인,,,,,,START,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20100311,2010-03-11,STA. 6+400 절토면 흙깎기STA. 1+400 시험발파,목,,,"13:00~15:00 STA. 1+400 절토부 시험발파 - 소음 및 진동측정기 : 14대 설치 - 보안물건을 고려한 제어발파 8단계 실시15:00~18:00 5, 6공구 해빙기 대피 사면 안전점검 - 점 검 자 : 품질기술팀 토질담당 - 점검내용 : 장평1터널 시점부 사면 안정성, 5공구 4+500 절토부 깎기 안정성등",,START,,,,STA. 1+400 시험발파,"('토공','본선','흙깎기','노상')",,,,,,,,,,,,,,,,,,,,,,,,,STA. 6+400 절토면 흙깎기,"('토공','본선','흙깎기','흙깎기기타')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20100312,2010-03-12,STA. 1+400 발파암 제거STA. 0+700 표토제거STA. 6+400 절토면 흙깎기,금,,,"13:00~14:00 STA.4+585 수로암거 철근 및 거푸집 조립상태 점검14:00~15:00 STA.738 수로암거 철근 및 거푸집 조립상태 점검15:00~18:00 5, 6공구 B/P용량변경 실정보고 서류 검토 - 콘크리트용 120㎥/hr→210㎥/hr",,STA. 0+700 표토제거,"('토공','IC/JC','토공기타','토공기타')",,,STA. 1+400 발파암 제거,"('토공','본선','흙깎기','흙깎기기타')",,,,,,,,,,,,,,,,,,,,,,,,,STA. 6+400 절토면 흙깎기,"('토공','본선','흙깎기','흙깎기기타')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20100313,2010-03-13,STA. 1+400 발파암 제거STA. 0+700 표토제거STA. 6+400 절토면 흙깎기,토,,휴일,- 휴무,,STA. 0+700 표토제거,"('토공','IC/JC','토공기타','토공기타')",,,STA. 1+400 발파암 제거,"('토공','본선','흙깎기','흙깎기기타')",,,,,,,,,,,,,,,,,,,,,,,,,STA. 6+400 절토면 흙깎기,"('토공','본선','흙깎기','흙깎기기타')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20100314,2010-03-14,STA. 1+400 발파암 제거STA. 0+700 표토제거STA. 6+400 절토면 흙깎기,일,,휴일,- 휴 무,,STA. 0+700 표토제거,"('토공','IC/JC','토공기타','토공기타')",,,STA. 1+400 발파암 제거,"('토공','본선','흙깎기','흙깎기기타')",,,,,,,,,,,,,,,,,,,,,,,,,STA. 6+400 절토면 흙깎기,"('토공','본선','흙깎기','흙깎기기타')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20100315,2010-03-15,,월,,,13:00~14:00 무연분묘 현황 및 토공공사추진관련 회의14:00~16:00 군업4교 P3 확대기초 지지력 시험 - 일부 침하량 초과로 1m 추가 터파기 지시16:00~18:00 종점부 수로암거 설치 시공상세도 검토 및 수정지시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20100316,2010-03-16,STA. 1+400 흙깎기,화,,,13:00~14:00 외삼포교 A2 철근조립상태 확인14:00~15:00 5공구 시점 토공관리상태 점검16:00~18:00 군업4교 확대기초 암판정 준비상태 확인 - 추가터파기구간 침하량 시험 및 암선확인,,,,,,STA. 1+400 흙깎기,"('토공','본선','흙깎기','흙깎기기타')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20100317,2010-03-17,STA. 1+400 흙깎기,수,,,"09:00~10:00 5, 6공구 공사추진관련 회의 - 5공구 : 교량공 조속실시 지시 - 6공구 : 공사용 진입도로 조속 설치 지시13:00~15:00 5, 6공구 맞춤형 배합설계 방안 검토 - 배수구조물 및 플라이애쉬를 사용한 배합설계방안 검토15:00~18:00 군업4교 확대기초 암판정 확인 - 기초 좌표 및 E.L 확인 - 침하량 및 지지력 확인 - 암선 측량 및 표시",,,,,,STA. 1+400 흙깎기,"('토공','본선','흙깎기','흙깎기기타')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20100318,2010-03-18,STA. 1+400 흙깎기STA. 0+700~900 표토제거,목,,,"10:00~12:00 군업4교 P3(춘천)확대기초 암판정 - 침하량 초과구간 masstlrhd - 발파암, 풍화암 측량 및 지지력 시험13:00~14:00 군업4교 P4 기둥 철근 및 거푸집 조립상태 점검14:00~16:00 숏크리트 배합설계 결과보고 검토 - 일반쇼크리트 : W/C 44%, S/a 60%, 10-20-100 -강섬유 숏크리트 : W/C 44.8%, S/a 60%, 10-4.5-10016:00~18:00 5, 6공구 해빙기대비 특별점검 지적사항 조치결과 확인",,STA. 0+700~900 표토제거,"('토공','IC/JC','토공기타','토공기타')",,,STA. 1+400 흙깎기,"('토공','본선','흙깎기','흙깎기기타')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20100319,2010-03-19,STA. 1+400 흙깎기STA. 0+960 발파,금,,,13:00~14:00 5공구 시점부 토공관리상태 점검 - 스펀지구간 치환14:00~16:00 STA. 0+700 v형 측구 시공계획검토 지시,,END,"토공,본선,토공기타,토공기타",STA. 0+960 발파,"('토공','지선/부체도로','흙깎기','리핑')",STA. 1+400 흙깎기,"('토공','본선','흙깎기','흙깎기기타')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
